mode,num_samples,action_accuracy,macro_f1,format_compliance_rate,json_valid_rate,recovery_rate_at_k,semi_loop_task_completion_rate,projected_mode_cost_usd
full,300,0.2833333333333333,0.1198664379068151,1.0,1.0,0.09666666666666666,0.09666666666666666,0.0
after-only,300,0.24666666666666667,0.09129348436137608,1.0,1.0,0.08333333333333333,0.08333333333333333,0.0
swap-test,300,0.2833333333333333,0.1074438625916753,1.0,1.0,0.10666666666666667,0.10666666666666667,0.0
text-only,300,0.16666666666666666,0.11616188475777217,0.9933333333333333,1.0,0.1,0.1,0.0
